Budget_Rank,University Name,Province,Type
218,某大学,北京市,0
219,某大学,山东省,0
220,某大学,天津市,0
221,某大学,北京市,0
222,某大学,湖北省,0
223,某大学,山东省,0
224,某大学,湖北省,0
225,某大学,天津市,0
226,某大学,湖北省,0
227,某大学,湖北省,0
228,某大学,湖北省,0
229,某大学,天津市,0
230,某大学,山东省,0
231,某大学,山东省,0
232,某大学,山东省,0
233,某大学,山东省,0
234,某大学,湖北省,0
235,某大学,山东省,0
236,某大学,天津市,0
